lsl_timestamp,ch_01
170252.28134348925,"{""marker"": ""P3_RECONNECTED"", ""lsl_time"": 170252.2813568, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:52.554434"", ""server_time_local"": ""2026-07-12T20:09:52.554434-04:00""}"
170252.29317998915,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 170252.2931933, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""last_seen_age_sec=32.2"", ""server_time_utc"": ""2026-07-13T00:09:52.566110"", ""server_time_local"": ""2026-07-12T20:09:52.566110-04:00""}"
170252.3530938887,"{""marker"": ""P3_RECONNECTED"", ""lsl_time"": 170252.3531072, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:52.626394"", ""server_time_local"": ""2026-07-12T20:09:52.626394-04:00""}"
170253.70389257817,"{""marker"": ""G1_R1_VOTE_SUBMIT_P3"", ""lsl_time"": 170253.7039059, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""target=P3"", ""server_time_utc"": ""2026-07-13T00:09:53.976842"", ""server_time_local"": ""2026-07-12T20:09:53.976842-04:00""}"
170254.4659541722,"{""marker"": ""P4_RECONNECTED"", ""lsl_time"": 170254.4659675, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:54.739330"", ""server_time_local"": ""2026-07-12T20:09:54.739330-04:00""}"
170255.904766261,"{""marker"": ""G1_R1_VOTE_SUBMIT_P4"", ""lsl_time"": 170255.9047796, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""target=P3"", ""server_time_utc"": ""2026-07-13T00:09:56.177077"", ""server_time_local"": ""2026-07-12T20:09:56.177077-04:00""}"
170256.55966135586,"{""marker"": ""P5_RECONNECTED"", ""lsl_time"": 170256.5596747, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:56.832634"", ""server_time_local"": ""2026-07-12T20:09:56.832634-04:00""}"
170257.91955724527,"{""marker"": ""G1_R1_VOTE_SUBMIT_P5"", ""lsl_time"": 170257.9195706, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""target=P4"", ""server_time_utc"": ""2026-07-13T00:09:58.192462"", ""server_time_local"": ""2026-07-12T20:09:58.192462-04:00""}"
170259.58641133228,"{""marker"": ""P2_RECONNECTED"", ""lsl_time"": 170259.5864247, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""phase=VOTE_PHASE"", ""server_time_utc"": ""2026-07-13T00:09:59.859230"", ""server_time_local"": ""2026-07-12T20:09:59.859230-04:00""}"
170261.94320931387,"{""marker"": ""G1_R1_VOTE_SUBMIT_P2"", ""lsl_time"": 170261.9432227, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""VOTE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""target=P3"", ""server_time_utc"": ""2026-07-13T00:10:02.216159"", ""server_time_local"": ""2026-07-12T20:10:02.216159-04:00""}"
170264.28331569562,"{""marker"": ""G1_R1_CONFIDENCE_PHASE"", ""lsl_time"": 170264.2833291, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:10:04.556344"", ""server_time_local"": ""2026-07-12T20:10:04.556344-04:00""}"
170266.52736867813,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P2"", ""lsl_time"": 170266.5273821, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""2"", ""server_time_utc"": ""2026-07-13T00:10:06.800015"", ""server_time_local"": ""2026-07-12T20:10:06.800015-04:00""}"
170268.59914176195,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P1"", ""lsl_time"": 170268.5991552, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""3"", ""server_time_utc"": ""2026-07-13T00:10:08.872016"", ""server_time_local"": ""2026-07-12T20:10:08.872016-04:00""}"
170270.43111634767,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P3"", ""lsl_time"": 170270.4311298, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""4"", ""server_time_utc"": ""2026-07-13T00:10:10.703463"", ""server_time_local"": ""2026-07-12T20:10:10.703463-04:00""}"
170272.31244723298,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P4"", ""lsl_time"": 170272.3124607, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""4"", ""server_time_utc"": ""2026-07-13T00:10:12.585230"", ""server_time_local"": ""2026-07-12T20:10:12.585230-04:00""}"
170274.27548481768,"{""marker"": ""G1_R1_CONFIDENCE_SUBMIT_P5"", ""lsl_time"": 170274.2754983, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""CONFIDENCE_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""5"", ""server_time_utc"": ""2026-07-13T00:10:14.548331"", ""server_time_local"": ""2026-07-12T20:10:14.548331-04:00""}"
